code,name,form,strand,quiz_url
1.1.1,"Whole Numbers",1,"Number",
1.1.2,"Fractions",1,"Number",
1.1.3,"Directed Numbers",1,"Number",
1.1.4,"Decimals",1,"Number",
1.1.5,"Percentages",1,"Number",
1.1.6,"Consumer Arithmetic",1,"Number",
1.2.1,"Sets",1,"Sets & Functions",
1.2.2,"Sets – Venn Diagrams & Problem Solving",1,"Sets & Functions",
1.3.1,"Statistics",1,"Statistics",
1.3.2,"Statistics – Mode & Frequency Tables",1,"Statistics",
1.4.1,"Solids and Plane Shapes",1,"Geometry",
1.4.2,"Points and Lines",1,"Geometry",
1.4.3,"Angles",1,"Geometry",
1.4.4,"Triangles",1,"Geometry",
1.4.5,"Quadrilaterals",1,"Geometry",
1.4.6,"Transformations",1,"Geometry",
1.5.1,"Introducing Measurement",1,"Measurement",
1.5.2,"Linear Measure",1,"Measurement",
1.5.3,"Perimeter",1,"Measurement",
1.5.4,"Area",1,"Measurement",
1.5.5,"Mass and Weight",1,"Measurement",
1.5.6,"Time",1,"Measurement",
1.6.1,"Introducing Algebra",1,"Algebra",
1.6.2,"Expressions",1,"Algebra",
1.6.6,"Algebraic Equations",1,"Algebra",
2.1.1,"Integers",2,"Number",
2.1.2,"Laws and Properties of Numbers",2,"Number",
2.1.3,"Number Bases",2,"Number",
2.2.1,"Sets",2,"Sets & Functions",
2.2.2,"Relations, Mappings and Functions",2,"Sets & Functions",
2.2.3,"Ordered Pairs",2,"Sets & Functions",
2.2.4,"Graphical Representation of Linear Equations & Inequalities",2,"Sets & Functions",
2.3.1,"Statistical Analysis",2,"Statistics",
2.3.2,"Data Displays",2,"Statistics",
2.4.1,"Coordinate Geometry",2,"Geometry",
2.4.2,"Transformations – Translations and Reflections",2,"Geometry",
2.4.3,"Angles, Triangles and Parallel lines",2,"Geometry",
2.4.4,"Geometric Drawings and Constructions",2,"Geometry",
2.5.1,"Units of Measurement and Conversion of Units",2,"Measurement",
2.5.2,"Circles",2,"Measurement",
2.5.3,"Area and Perimeter of Compound Shapes",2,"Measurement",
2.5.4,"Volume and Capacity of Prisms",2,"Measurement",
2.5.5,"Problem Solving involving Rate, Ratio and Proportion",2,"Measurement",
2.5.6,"Consumer Arithmetic",2,"Measurement",
2.6.1,"Substitution",2,"Algebra",
2.6.2,"Simplification of Algebraic Expressions",2,"Algebra",
2.6.3,"Solution of Linear Equations",2,"Algebra",
2.6.4,"Solution of Linear Inequalities",2,"Algebra",
3.1.1,"Real Numbers and Number Bases",3,"Number",
3.2.1,"Venn Diagrams",3,"Sets & Functions",
3.2.2,"Graphs of Linear Equations",3,"Sets & Functions",
3.2.3,"Graphical Solutions to Simultaneous Equations",3,"Sets & Functions",
3.3.1,"Introduction to Probability",3,"Statistics",
3.4.1,"Congruency",3,"Geometry",
3.4.2,"Similarity",3,"Geometry",
3.4.3,"Right-Angled Triangles and Pythagoras’ Theorem",3,"Geometry",
3.4.4,"Trigonometric Ratios",3,"Geometry",
3.4.5,"Construction",3,"Geometry",
3.4.6,"Polygons",3,"Geometry",
3.5.1,"Compound Shapes Involving Parts of the Circle",3,"Measurement",
3.5.2,"Surface Area and Volume of Prisms and Pyramids",3,"Measurement",
3.5.3,"Scales and Scalar Measurement",3,"Measurement",
3.5.4,"Consumer Arithmetic",3,"Measurement",
3.6.1,"Linear Equations Involving Algebraic Fractions",3,"Algebra",
3.6.2,"Linear Inequalities Involving Algebraic Fractions",3,"Algebra",
3.6.3,"Solution of Simultaneous Equations",3,"Algebra",
3.6.4,"Laws of Indices",3,"Algebra",
3.6.5,"Simplifying Algebraic Expressions",3,"Algebra",
3.6.6,"Factorisation of Algebraic Expressions",3,"Algebra",
3.6.7,"Quadratics",3,"Algebra",
